144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Citibank || Industry (ANZSIC4) code: 6221 || Industry (ANZSIC4) description: Banking || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Melbourne Securities Corporation || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Investa || Industry (ANZSIC4) code: 6712 || Industry (ANZSIC4) description: Non-Residential Property Operators || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Merrill Lynch (Australia) Automated Markets Ltd || Industry (ANZSIC4) code: 6411 || Industry (ANZSIC4) description: Financial Asset Broking Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Business Council of Australia || Industry (ANZSIC4) code: 9551 || Industry (ANZSIC4) description: Business and Professional Association Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: ASIC || Industry (ANZSIC4) code: 7510 || Industry (ANZSIC4) description: Central Government Administration || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Marks Henderson || Industry (ANZSIC4) code: 6720 || Industry (ANZSIC4) description: Real Estate Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Rothschild || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Urbis Property Services || Industry (ANZSIC4) code: 3211 || Industry (ANZSIC4) description: Land Development and Subdivision || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Bluescope Steel || Industry (ANZSIC4) code: 2110 || Industry (ANZSIC4) description: Iron Smelting and Steel Manufacturing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: BOQ Specialist Bank Limited || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: S&P Global || Industry (ANZSIC4) code: 6419 || Industry (ANZSIC4) description: Other Auxiliary Finance and Investment Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Alistair Trung || Industry (ANZSIC4) code: 4255 || Industry (ANZSIC4) description: Women's Clothing Retailing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Raku Raku || Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Paul Smith || Industry (ANZSIC4) code: 4251 || Industry (ANZSIC4) description: Clothing Retailing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

144.9693468 -37.81400035 0.0005 --> Census year: 2018 || Block ID: 37 || Property ID: 102155 || Base property ID: 102155 || CLUE small area: Melbourne (CBD) || Trading Name: Mitsubishi Australia || Industry (ANZSIC4) code: 6240 || Industry (ANZSIC4) description: Financial Asset Investing || x coordinate: 144.969347 || y coordinate: -37.814000 || Location: (-37.81400035, 144.9693468) ||

